State,Year,Killed,Injured
alabama,2022,1,8
alabama,2018,0,4
alabama,2021,3,13
alabama,2014,7,29
alabama,2017,3,2
alabama,2016,2,10
alabama,2019,1,7
alabama,2015,0,4
arizona,2022,0,4
arkansas,2018,2,18
arkansas,2021,4,4
arkansas,2014,11,24
arkansas,2015,2,13
arkansas,2020,0,9
arkansas,2017,3,6
arkansas,2022,0,4
arkansas,2016,2,10
california,2018,2,2
california,2014,3,24
california,2020,1,9
california,2016,2,6
california,2021,2,2
colorado,2021,10,0
colorado,2019,2,2
colorado,2014,6,19
colorado,2022,4,8
colorado,2015,1,5
colorado,2020,0,6
connecticut,2014,0,4
connecticut,2016,0,5
connecticut,2015,0,5
delaware,2020,0,6
florida,2018,0,5
florida,2020,0,4
florida,2014,6,23
florida,2019,2,11
florida,2016,5,19
florida,2015,2,9
georgia,2016,7,10
georgia,2020,0,8
georgia,2022,0,9
georgia,2021,2,11
georgia,2015,1,7
georgia,2014,9,42
georgia,2019,0,4
idaho,2021,3,6
idaho,2014,5,9
idaho,2022,0,4
idaho,2016,0,7
idaho,2019,0,7
illinois,2021,5,10
illinois,2016,9,20
illinois,2019,9,3
illinois,2014,4,22
illinois,2020,1,9
illinois,2018,0,4
illinois,2015,1,12
illinois,2017,3,2
illinois,2022,1,3
indiana,2017,3,6
indiana,2018,2,14
indiana,2021,5,6
indiana,2019,5,3
indiana,2014,7,24
indiana,2015,4,8
indiana,2020,0,11
indiana,2016,5,19
indiana,2022,1,3
iowa,2018,2,14
iowa,2021,5,6
iowa,2019,5,3
iowa,2014,15,24
iowa,2015,1,7
iowa,2016,3,17
iowa,2022,1,3
kansas,2017,0,12
kansas,2018,0,4
kansas,2019,4,12
kansas,2014,7,24
kansas,2021,0,4
kansas,2016,5,7
kansas,2022,0,4
kansas,2020,0,5
kansas,2015,2,2
kentucky,2017,3,6
kentucky,2018,0,12
kentucky,2014,14,19
kentucky,2021,5,6
kentucky,2020,1,7
kentucky,2019,9,3
kentucky,2022,5,7
kentucky,2016,2,10
kentucky,2015,4,4
louisiana,2017,0,4
louisiana,2020,1,3
louisiana,2014,7,13
louisiana,2015,2,9
louisiana,2022,0,4
louisiana,2019,4,0
louisiana,2016,0,7
louisiana,2018,1,3
maine,2014,2,8
maine,2022,0,4
maine,2021,4,7
maine,2017,0,4
maryland,2015,2,6
maryland,2019,0,4
maryland,2020,0,6
maryland,2014,0,12
maryland,2022,0,6
massachusetts,2015,3,5
massachusetts,2021,4,1
massachusetts,2014,2,9
massachusetts,2022,0,6
michigan,2019,8,0
michigan,2014,3,6
michigan,2016,8,10
michigan,2020,0,10
minnesota,2018,2,14
minnesota,2021,1,3
minnesota,2014,2,15
minnesota,2022,1,7
minnesota,2019,1,3
mississippi,2018,2,18
mississippi,2021,2,2
mississippi,2019,3,6
mississippi,2014,7,19
mississippi,2020,0,11
mississippi,2015,2,13
mississippi,2017,3,2
mississippi,2022,0,4
mississippi,2016,2,10
missouri,2018,2,14
missouri,2021,7,2
missouri,2020,1,8
missouri,2015,3,16
missouri,2019,8,0
missouri,2014,10,25
missouri,2017,6,3
missouri,2022,1,7
missouri,2016,2,14
montana,2015,4,0
montana,2022,0,4
montana,2016,0,7
montana,2019,1,10
montana,2018,0,8
nebraska,2021,4,0
nebraska,2014,6,13
nebraska,2019,2,9
nebraska,2016,1,14
nebraska,2015,1,5
nebraska,2022,0,4
nebraska,2017,0,4
nevada,2022,2,6
new-jersey,2016,6,3
new-jersey,2015,2,11
new-jersey,2021,4,6
new-mexico,2022,0,4
new-mexico,2018,10,13
new-mexico,2019,3,4
new-york,2016,6,22
new-york,2015,1,17
new-york,2019,8,0
new-york,2014,3,30
new-york,2021,5,5
new-york,2020,0,4
north-carolina,2022,1,9
north-carolina,2020,1,3
north-carolina,2015,5,22
north-carolina,2014,8,27
north-carolina,2016,6,13
north-carolina,2018,0,4
north-carolina,2021,3,2
north-dakota,2020,3,5
north-dakota,2018,3,1
ohio,2017,3,6
ohio,2016,4,27
ohio,2019,4,0
ohio,2014,6,40
ohio,2021,1,6
ohio,2020,0,4
ohio,2015,1,7
ohio,2022,1,3
oklahoma,2021,7,6
oklahoma,2014,6,10
oklahoma,2022,0,4
oklahoma,2019,1,3
oklahoma,2017,0,5
oklahoma,2015,0,6
oregon,2020,0,4
oregon,2018,2,14
oregon,2014,2,14
oregon,2022,0,4
oregon,2021,4,1
pennsylvania,2014,3,31
pennsylvania,2019,4,4
pennsylvania,2021,1,6
pennsylvania,2015,2,12
pennsylvania,2020,0,4
pennsylvania,2017,3,6
pennsylvania,2016,2,3
rhode-island,2015,3,1
rhode-island,2020,0,6
rhode-island,2014,0,11
south-carolina,2019,3,5
south-carolina,2020,6,15
south-carolina,2017,2,15
south-carolina,2018,0,10
south-carolina,2015,11,22
south-carolina,2022,1,8
south-carolina,2014,4,19
south-carolina,2021,0,8
south-dakota,2018,2,2
south-dakota,2014,3,6
south-dakota,2017,3,2
south-dakota,2022,0,4
south-dakota,2019,1,3
tennessee,2018,2,22
tennessee,2014,6,36
tennessee,2021,1,6
tennessee,2016,7,17
tennessee,2017,3,2
tennessee,2022,1,7
tennessee,2019,1,3
tennessee,2020,0,5
tennessee,2015,0,4
texas,2018,0,8
texas,2022,22,25
texas,2014,14,35
texas,2016,13,24
texas,2020,1,9
texas,2021,4,11
texas,2019,7,10
texas,2015,3,5
utah,2014,0,6
vermont,2021,4,1
vermont,2014,3,11
vermont,2016,2,2
virginia,2014,14,66
virginia,2022,4,15
virginia,2021,4,1
virginia,2019,0,4
virginia,2016,9,19
virginia,2015,9,39
virginia,2017,2,20
virginia,2018,0,4
virginia,2020,5,0
washington,2018,2,14
washington,2014,2,7
washington,2022,1,7
west-virginia,2022,1,7
west-virginia,2021,5,6
west-virginia,2020,0,4
west-virginia,2014,5,5
west-virginia,2019,1,3
west-virginia,2016,2,3
west-virginia,2015,5,3
west-virginia,2017,1,3
wisconsin,2014,4,25
wisconsin,2018,3,1
wisconsin,2015,3,12
wisconsin,2021,1,3
wisconsin,2019,0,5
wisconsin,2022,0,4
wisconsin,2016,2,3
wisconsin,2020,0,5
wyoming,2016,1,3
wyoming,2014,3,1
wyoming,2022,1,7
