Incident ID,Incident Date,State,City Or County,Address,Victims Killed,Victims Injured,Suspects Killed,Suspects Injured,Suspects Arrested,Operations,Year
271363,2014-12-29,Louisiana,New Orleans,Poydras and Bolivar,0,4,0,0,0,,2014
269679,2014-12-27,California,Los Angeles,8800 block of South Figueroa Street,1,3,0,0,0,,2014
270036,2014-12-27,California,Sacramento,4000 block of May Street,0,4,0,0,0,,2014
269167,2014-12-26,Illinois,East St. Louis,2500 block of Summit Avenue,1,3,0,0,0,,2014
268598,2014-12-24,Missouri,Saint Louis,18th and Pine,1,3,0,0,0,,2014
267792,2014-12-23,Kentucky,Winchester,260 Oxford Dr,1,3,0,0,2,,2014
268282,2014-12-22,Michigan,Detroit,Charlevoix and Philip,1,3,0,0,0,,2014
282186,2014-12-22,New York,Webster,191 Lake Rd,3,2,1,0,0,,2014
267721,2014-12-22,Illinois,Chicago,5700 block of South Green Street,0,5,0,0,0,,2014
266570,2014-12-21,Florida,Sarasota,4034 N Washington Blvd,2,2,0,0,0,,2014
268910,2014-12-21,Mississippi,Waynesboro,Central Avenue,1,4,0,0,2,,2014
266424,2014-12-21,Illinois,Calumet City,600 block of Escanba,1,8,0,0,0,,2014
266407,2014-12-20,Illinois,Rockford,3200 block of Montrose Avenue,4,0,0,0,1,,2014
264901,2014-12-16,New Jersey,Elizabeth,Anna Street,0,4,0,0,0,,2014
263556,2014-12-15,Pennsylvania,Lansdale,100 block of West 5th St,6,0,1,0,0,,2014
263376,2014-12-14,Florida,Miami,1311 Northwest 2nd Avenue,1,4,0,0,0,,2014
263382,2014-12-13,Florida,Tampa,810 E. Skagway Ave.,0,5,0,0,0,,2014
262202,2014-12-12,Oregon,Portland,717 North Killingsworth Court,0,4,0,0,3,,2014
259935,2014-12-07,Indiana,South Bend,16000 block of Roosevelt Road,0,4,0,0,0,,2014
227011,2014-12-02,Missouri,Saint Louis,6000 block of Virginia Avenue,1,3,0,2,0,,2014
226983,2014-12-02,Virginia,Newport News,6128 Jefferson Ave ,0,5,0,0,0,,2014
226534,2014-11-30,Tennessee,Chattanooga,2412 East 13th Street ,0,5,0,0,0,,2014
226388,2014-11-30,New York,Brooklyn,375 Remsen Avenue,0,4,0,0,0,,2014
226150,2014-11-29,New Jersey,Newark,348 S Orange Ave,1,3,0,0,0,,2014
225903,2014-11-29,Georgia,Atlanta,1600 block of Richmond Avenue,3,2,0,0,0,,2014
225830,2014-11-28,Tennessee,Memphis,1849 East Brooks Road ,0,4,0,0,0,,2014
226018,2014-11-27,Texas,Georgetown,Pvt Rd 934,2,3,0,0,0,,2014
